,company,sector,inventory,cogs,sales,date,avg_inventory,company_name
0,AOS,Industrials,215100000,1077200000,1451300000,2009-12-31,,A. O. Smith
1,AOS,Industrials,257100000,756500000,980400000,2010-06-30,236100000.0,A. O. Smith
2,AOS,Industrials,268600000,1119500000,1481900000,2010-09-30,262850000.0,A. O. Smith
3,AOS,Industrials,146800000,980100000,1375000000,2010-12-31,207700000.0,A. O. Smith
4,AOS,Industrials,160800000,258400000,366700000,2011-03-31,153800000.0,A. O. Smith
5,AOS,Industrials,161600000,793000000,1095900000,2011-06-30,161200000.0,A. O. Smith
6,AOS,Industrials,176700000,1203300000,1655300000,2011-09-30,169150000.0,A. O. Smith
7,AOS,Industrials,168400000,1043300000,1489300000,2011-12-31,172550000.0,A. O. Smith
8,AOS,Industrials,172200000,290400000,417400000,2012-03-31,170300000.0,A. O. Smith
9,AOS,Industrials,177000000,583800000,822700000,2012-06-30,174600000.0,A. O. Smith
10,AOS,Industrials,178200000,877100000,1234700000,2012-09-30,177600000.0,A. O. Smith
11,AOS,Industrials,163400000,1197900000,1710500000,2012-12-31,170800000.0,A. O. Smith
12,AOS,Industrials,169800000,319500000,468600000,2013-03-31,166600000.0,A. O. Smith
13,AOS,Industrials,178900000,643200000,952800000,2013-06-30,174350000.0,A. O. Smith
14,AOS,Industrials,189500000,948600000,1415000000,2013-09-30,184200000.0,A. O. Smith
15,AOS,Industrials,193400000,1287300000,1939300000,2013-12-31,191450000.0,A. O. Smith
16,AOS,Industrials,197400000,330300000,509600000,2014-03-31,195400000.0,A. O. Smith
17,AOS,Industrials,206800000,681400000,1058700000,2014-06-30,202100000.0,A. O. Smith
18,AOS,Industrials,218500000,1021000000,1594900000,2014-09-30,212650000.0,A. O. Smith
19,AOS,Industrials,208300000,1380000000,2153800000,2014-12-31,213400000.0,A. O. Smith
20,AOS,Industrials,218800000,356300000,552200000,2015-03-31,213550000.0,A. O. Smith
21,AOS,Industrials,233400000,735500000,1147600000,2015-06-30,226100000.0,A. O. Smith
22,AOS,Industrials,239000000,1101800000,1729200000,2015-09-30,236200000.0,A. O. Smith
23,AOS,Industrials,222900000,1496700000,2356000000,2015-12-31,230950000.0,A. O. Smith
24,AOS,Industrials,230200000,389300000,618500000,2016-03-31,226550000.0,A. O. Smith
25,AOS,Industrials,237800000,779500000,1272000000,2016-06-30,234000000.0,A. O. Smith
26,AOS,Industrials,258600000,1147900000,1897100000,2016-09-30,248200000.0,A. O. Smith
27,AOS,Industrials,251100000,1526700000,2536500000,2016-12-31,254850000.0,A. O. Smith
28,AOS,Industrials,257100000,374200000,636900000,2017-03-31,254100000.0,A. O. Smith
29,AOS,Industrials,287000000,757500000,1303900000,2017-06-30,272050000.0,A. O. Smith
30,AOS,Industrials,292100000,1158100000,1987800000,2017-09-30,289550000.0,A. O. Smith
31,AOS,Industrials,291200000,1566600000,2685900000,2017-12-31,291650000.0,A. O. Smith
32,AOS,Industrials,287100000,437700000,740000000,2018-03-31,289150000.0,A. O. Smith
33,AOS,Industrials,289000000,870000000,1478200000,2018-06-30,288050000.0,A. O. Smith
34,AOS,Industrials,307700000,1313200000,2228100000,2018-09-30,298350000.0,A. O. Smith
35,AOS,Industrials,304700000,1758000000,2996700000,2018-12-31,306200000.0,A. O. Smith
36,AOS,Industrials,319700000,466500000,788000000,2019-03-31,312200000.0,A. O. Smith
37,AMD,Information Technology,567000000,3488000000,5808000000,2009-12-26,443350000.0,Advanced Micro Devices
38,AMD,Information Technology,581000000,1409000000,2361000000,2010-06-26,574000000.0,Advanced Micro Devices
39,AMD,Information Technology,622000000,2220000000,3757000000,2010-09-25,601500000.0,Advanced Micro Devices
40,AMD,Information Technology,632000000,3131000000,5403000000,2010-12-25,627000000.0,Advanced Micro Devices
41,AMD,Information Technology,648000000,833000000,1574000000,2011-04-02,640000000.0,Advanced Micro Devices
42,AMD,Information Technology,642000000,1748000000,3227000000,2011-07-02,645000000.0,Advanced Micro Devices
43,AMD,Information Technology,540000000,2627000000,4845000000,2011-10-01,591000000.0,Advanced Micro Devices
44,AMD,Information Technology,476000000,3533000000,6494000000,2011-12-31,508000000.0,Advanced Micro Devices
45,AMD,Information Technology,585000000,922000000,1613000000,2012-03-31,530500000.0,Advanced Micro Devices
46,AMD,Information Technology,833000000,1776000000,3187000000,2012-06-30,709000000.0,Advanced Micro Devices
47,AMD,Information Technology,744000000,2710000000,4877000000,2012-09-29,788500000.0,Advanced Micro Devices
48,AMD,Information Technology,562000000,3628000000,6568000000,2012-12-29,653000000.0,Advanced Micro Devices
49,AMD,Information Technology,613000000,1558000000,1585000000,2013-03-30,587500000.0,Advanced Micro Devices
50,AMD,Information Technology,711000000,2333000000,2998000000,2013-06-29,662000000.0,Advanced Micro Devices
51,AMD,Information Technology,922000000,3210000000,4267000000,2013-09-28,816500000.0,Advanced Micro Devices
52,AMD,Information Technology,884000000,4187000000,5422000000,2013-12-28,903000000.0,Advanced Micro Devices
53,AMD,Information Technology,869000000,643000000,1088000000,2014-03-29,876500000.0,Advanced Micro Devices
54,AMD,Information Technology,960000000,1345000000,2249000000,2014-06-28,914500000.0,Advanced Micro Devices
55,AMD,Information Technology,897000000,2285000000,3710000000,2014-09-27,928500000.0,Advanced Micro Devices
56,AMD,Information Technology,685000000,3321000000,5299000000,2014-12-27,791000000.0,Advanced Micro Devices
57,AMD,Information Technology,688000000,910000000,1397000000,2015-03-28,686500000.0,Advanced Micro Devices
58,AMD,Information Technology,799000000,1853000000,2838000000,2015-06-27,743500000.0,Advanced Micro Devices
59,AMD,Information Technology,761000000,2788000000,4267000000,2015-09-26,780000000.0,Advanced Micro Devices
60,AMD,Information Technology,678000000,3667000000,5506000000,2015-12-26,719500000.0,Advanced Micro Devices
61,AMD,Information Technology,675000000,704000000,1030000000,2016-03-26,676500000.0,Advanced Micro Devices
62,AMD,Information Technology,743000000,1414000000,1972000000,2016-06-25,709000000.0,Advanced Micro Devices
63,AMD,Information Technology,772000000,2236000000,3033000000,2016-09-24,757500000.0,Advanced Micro Devices
64,AMD,Information Technology,751000000,2911000000,3991000000,2016-12-31,761500000.0,Advanced Micro Devices
65,AMD,Information Technology,839000000,563000000,832000000,2017-04-01,795000000.0,Advanced Micro Devices
66,AMD,Information Technology,833000000,1271000000,1859000000,2017-07-01,836000000.0,Advanced Micro Devices
67,AMD,Information Technology,794000000,2519000000,3166000000,2017-09-30,813500000.0,Advanced Micro Devices
68,AMD,Information Technology,739000000,3274000000,4272000000,2017-12-30,766500000.0,Advanced Micro Devices
69,AMD,Information Technology,715000000,653000000,984000000,2018-03-31,727000000.0,Advanced Micro Devices
70,AMD,Information Technology,750000000,1471000000,2206000000,2018-06-30,732500000.0,Advanced Micro Devices
71,AMD,Information Technology,738000000,2541000000,3849000000,2018-09-29,744000000.0,Advanced Micro Devices
